elapsed_time,lap_number,speed_kph,gear,rpm,throttle,brake,steering,pos_x,pos_y,pos_z,acc_x,acc_y,acc_z,sector,lap_dist,path_lateral,track_edge,surface_fl,surface_fr,surface_rl,surface_rr,lap_valid
217.3425,1,207.87215909406805,5,5976.564585809604,1.0,0.0,0.0025460270699113607,-305.8893127441406,24.93416404724121,852.042236328125,0.08753997087478638,1.7085356712341309,-1.9905993938446045,0,129.0142822265625,-2.441415786743164,-6.599999904632568,0,0,0,0,True
217.4625,1,207.46639854311204,5,5886.578901658356,0.2739449143409729,0.21178112924098969,-0.004869510419666767,-309.69110107421875,25.126901626586914,857.8361206054688,0.20309996604919434,3.4819271564483643,5.264340877532959,0,140.53428649902344,-2.621255397796631,-6.525000095367432,0,0,0,0,True
217.5425,1,205.30509888397012,5,5774.88989982188,0.04008805379271507,0.3912489414215088,-0.01571381464600563,-312.20635986328125,25.279582977294922,861.6709594726562,0.9635553359985352,0.5407096147537231,9.661355972290039,0,140.53428649902344,-2.621255397796631,-6.525000095367432,0,0,0,0,True
217.6625,1,199.80583759581398,5,5576.339251291331,0.0,0.6387584805488586,-0.006505286321043968,-315.92242431640625,25.513622283935547,867.310546875,2.422487735748291,0.7927038669586182,14.945160865783691,0,151.9856414794922,-2.858444929122925,-6.525000095367432,0,0,0,0,True
217.7625,1,194.0881262875199,5,5408.136644991684,0.0,0.7374533414840698,0.0035398786421865225,-318.95196533203125,25.712305068969727,871.86279296875,2.891507625579834,0.6009359359741211,16.845447540283203,0,151.9856414794922,-2.858444929122925,-6.525000095367432,0,0,0,0,True
217.8625,1,187.60674355437348,5,5198.7835878358965,0.0,0.8429792523384094,0.008631295524537563,-321.9092712402344,25.91493797302246,876.259765625,2.6054811477661133,1.3459759950637817,18.959178924560547,0,162.9598846435547,-3.1372547149658203,-6.525000095367432,0,0,0,0,True
217.9625,1,180.74029292891663,5,5007.224721644203,0.0,0.897935688495636,0.02402154542505741,-324.7799987792969,26.125816345214844,880.488037109375,0.3639354705810547,0.5307313203811646,19.057178497314453,0,162.9598846435547,-3.1372547149658203,-6.525000095367432,0,0,0,0,True
218.0625,1,173.90783079690348,5,4790.177847985909,0.0,0.924735426902771,0.019967319443821907,-327.54718017578125,26.33873176574707,884.5582885742188,-1.187027931213379,1.134786605834961,20.587570190429688,0,173.23191833496094,-3.464393138885498,-6.5,0,0,0,0,True
218.1625,1,166.87746070473983,4,5384.674890551177,0.0,1.0,0.012231935746967793,-330.19415283203125,26.552995681762695,888.4739379882812,-1.6732769012451172,-0.0620637983083725,18.686504364013672,0,173.23191833496094,-3.464393138885498,-6.5,0,0,0,0,True
218.2625,1,160.44637536691997,4,5130.975072573735,0.0,1.0,0.019201429560780525,-332.7252502441406,26.76224136352539,892.2435913085938,-2.3440871238708496,-0.4889777600765228,18.631107330322266,0,182.7368927001953,-3.7469725608825684,-6.5,0,0,0,0,True
218.3625,1,154.18882733727415,4,4905.7820963930135,0.0,1.0,0.020945237949490547,-335.14544677734375,26.961881637573242,895.8755493164062,-1.4990267753601074,-0.6776455044746399,17.840545654296875,0,182.7368927001953,-3.7469725608825684,-6.5,0,0,0,0,True
218.4625,1,148.21705013952482,0,5644.612875115213,0.1813102071108744,0.9829124212265015,0.019226286560297012,-337.461181640625,27.149335861206055,899.3745727539062,-2.2812671661376953,-0.02075667679309845,18.20914649963379,0,191.51437377929688,-3.9394724369049072,-6.449999809265137,0,0,0,0,True
218.5625,1,141.52662100593574,3,5538.951633611219,0.0,0.9469269514083862,0.016126183792948723,-339.6662902832031,27.332603454589844,902.736083984375,-1.5669431686401367,1.1940346956253052,18.620521545410156,0,191.51437377929688,-3.9394724369049072,-6.449999809265137,0,0,0,0,True
218.6625,1,135.40510345820027,3,5266.85146814814,0.0,0.8885527849197388,0.019018081948161125,-341.75750732421875,27.518930435180664,905.9552612304688,-0.357820987701416,-0.9354890584945679,17.1962947845459,0,199.56695556640625,-4.059737205505371,-6.449999809265137,0,0,0,0,True
218.7625,1,129.87732302070984,3,5027.99024524947,0.0,0.8309537768363953,0.02441968023777008,-343.7514953613281,27.693191528320312,909.0469970703125,-1.6656899452209473,-0.5604695081710815,11.173933029174805,0,199.56695556640625,-4.059737205505371,-6.449999809265137,0,0,0,0,True
218.8625,1,124.0475393926331,0,5753.487911868995,0.18054220988114406,0.8201777338981628,0.02418895810842514,-345.6508483886719,27.853525161743164,912.0153198242188,-1.0350522994995117,-0.32026898860931396,16.176374435424805,0,206.93490600585938,-4.1835479736328125,-6.474999904632568,0,0,0,0,True
218.9625,1,118.43431714118384,2,5522.8779946198065,0.0,0.8023608922958374,0.0334242582321167,-347.4522705078125,28.003416061401367,914.8551025390625,-1.6100335121154785,-0.8146225214004517,15.542137145996094,0,206.93490600585938,-4.1835479736328125,-6.474999904632568,0,0,0,0,True
219.0625,1,112.76243097673404,2,5236.586772438949,0.0,0.7890669703483582,0.04280104860663414,-349.1561584472656,28.14061164855957,917.573974609375,-2.571950912475586,-0.2474438101053238,13.755964279174805,0,213.67941284179688,-4.303006172180176,-6.550000190734863,0,0,0,0,True
219.1625,1,107.16298609268303,2,5003.771960842654,0.0,0.7634374499320984,0.05095517262816429,-350.7584228515625,28.26871109008789,920.1698608398438,-3.232722282409668,-0.5021026134490967,11.911449432373047,0,213.67941284179688,-4.303006172180176,-6.550000190734863,0,0,0,0,True
219.2625,1,101.83038504466096,2,4770.34924419639,0.0,0.6496729254722595,0.07003188878297806,-352.2598876953125,28.385915756225586,922.6499633789062,-2.6781692504882812,-0.9750385284423828,11.377616882324219,0,219.810546875,-4.356151580810547,-6.724999904632568,0,0,0,0,True
219.3625,1,97.15741999158062,1,5718.3168453921735,0.0,0.4876534938812256,0.09664938598871231,-353.6644592285156,28.489437103271484,925.0253295898438,-4.731957912445068,-0.8317080140113831,11.941644668579102,0,219.810546875,-4.356151580810547,-6.724999904632568,0,0,0,0,True
219.48250000000002,1,92.66983784640749,1,5491.041371854272,0.0,0.35050079226493835,0.12361616641283035,-355.21673583984375,28.5975284576416,927.7755737304688,-7.052931785583496,-0.2663808763027191,9.128947257995605,0,225.36239624023438,-4.2913103103637695,-6.800000190734863,0,0,0,0,True
219.5625,1,90.25593572069694,1,5366.999016677344,0.0,0.28672268986701965,0.14234104752540588,-356.1673278808594,28.662487030029297,929.56982421875,-8.213908195495605,0.03603043779730797,7.744112968444824,0,225.36239624023438,-4.2913103103637695,-6.800000190734863,0,0,0,0,True
219.6825,1,86.93672004657759,1,5170.389234701346,0.0,0.27796685695648193,0.1827239692211151,-357.4612731933594,28.75200080871582,932.222412109375,-9.241734504699707,-0.19717666506767273,7.562399387359619,0,230.46900939941406,-4.020585060119629,-6.900000095367432,0,0,0,0,True
219.7625,1,84.87485189060028,1,5047.910646781433,0.0,0.2528741955757141,0.2102086991071701,-358.23260498046875,28.8052978515625,933.9674072265625,-9.867000579833984,-0.7045024037361145,6.988036632537842,0,230.46900939941406,-4.020585060119629,-6.900000095367432,0,0,0,0,True
219.8625,1,82.56634975995865,1,4918.314965318691,0.0,0.20732472836971283,0.2603705823421478,-359.0905456542969,28.861282348632812,936.1268310546875,-11.390843391418457,-0.8119322061538696,5.724973678588867,0,235.22901916503906,-3.441049575805664,-6.974999904632568,0,0,0,0,True
219.9625,1,80.61651720842656,1,4806.655397044078,0.0,0.1827775239944458,0.3033747375011444,-359.82562255859375,28.903684616088867,938.2694702148438,-11.352744102478027,-0.9940203428268433,5.235192775726318,0,235.22901916503906,-3.441049575805664,-6.974999904632568,0,0,0,0,True
220.0625,1,78.77780153842446,1,4702.357424870744,0.0,0.1752724051475525,0.34519702196121216,-360.43572998046875,28.932466506958008,940.3969116210938,-12.164302825927734,-0.4697958528995514,5.203892707824707,0,239.6446533203125,-2.483530044555664,-7.075000286102295,0,0,0,0,True
220.1825,1,76.75729657405864,1,4606.92507466776,0.0,0.1256728321313858,0.3817474842071533,-360.9945373535156,28.954544067382812,942.9263305664062,-13.148053169250488,-0.07227139919996262,3.950908660888672,0,239.6446533203125,-2.483530044555664,-7.075000286102295,0,0,0,0,True
220.2625,1,75.79406173289988,1,4568.4705632254545,0.0,0.05759499967098236,0.41093969345092773,-361.25927734375,28.963239669799805,944.5994873046875,-13.127298355102539,-0.49836477637290955,2.751444101333618,0,243.78170776367188,-1.1840333938598633,-7.075000286102295,0,0,0,0,True
220.3825,1,74.69613529175568,1,4494.559683751238,0.0,0.02693721279501915,0.4669344425201416,-361.4973449707031,28.963808059692383,947.0953369140625,-13.11132526397705,-0.4062316417694092,2.3058972358703613,0,243.78170776367188,-1.1840333938598633,-7.075000286102295,0,0,0,0,True
220.4625,1,74.16983974995695,1,4473.932876734554,0.0,0.0,0.49708184599876404,-361.55108642578125,28.954572677612305,948.7479858398438,-12.958966255187988,-0.9544378519058228,1.6567457914352417,0,247.61927795410156,0.4406742453575134,7.785000324249268,0,0,0,0,True
220.5825,1,73.45609056580692,1,4431.227109842131,0.0,0.0,0.5743838548660278,-361.4745788574219,28.92388343811035,951.20654296875,-13.655982971191406,-0.3352343738079071,1.7409026622772217,0,247.61927795410156,0.4406742453575134,7.785000324249268,0,0,0,0,True
220.6825,1,72.7046021474267,1,4393.8144299212245,0.0,0.0337265245616436,0.6287420392036438,-361.2620849609375,28.886625289916992,953.2257080078125,-15.617217063903809,1.0920759439468384,2.83831787109375,0,251.4720001220703,2.2407450675964355,8.225000381469727,0,0,0,0,True
220.7625,1,71.96931573981094,1,4343.789905873998,0.0,0.06489229947328568,0.6362866759300232,-360.99029541015625,28.853649139404297,954.809326171875,-13.099122047424316,-1.1623066663742065,2.5927019119262695,0,251.4720001220703,2.2407450675964355,8.225000381469727,0,0,0,0,True
220.8825,1,70.63845212272251,1,4243.92037336477,0.0,0.11561223119497299,0.6688488125801086,-360.4290466308594,28.790687561035156,957.1187744140625,-14.07129955291748,-0.05967076122760773,3.395625591278076,0,255.75933837890625,4.126681804656982,8.118999481201172,0,0,0,0,True
220.98250000000002,1,69.2859226179058,1,4165.489547905405,0.0,0.1725659966468811,0.6764516234397888,-359.82470703125,28.729368209838867,958.9653930664062,-14.008387565612793,-0.18092209100723267,4.3477301597595215,0,255.75933837890625,4.126681804656982,8.118999481201172,0,0,0,0,True
221.0825,1,67.59448605735902,1,4069.8616539399436,0.0,0.18246179819107056,0.6772725582122803,-359.10333251953125,28.661361694335938,960.72265625,-15.603793144226074,1.1755049228668213,4.7515950202941895,0,260.743408203125,5.6835432052612305,8.72499942779541,0,0,0,0,True
221.1625,1,66.29657605256311,1,4013.6248998111314,0.0,0.1320987343788147,0.6793730854988098,-358.4374084472656,28.610958099365234,962.0513305664062,-16.785287857055664,2.429224729537964,4.6861138343811035,0,260.743408203125,5.6835432052612305,8.72499942779541,0,0,0,0,True
221.2825,1,64.91236228220234,1,3955.369469612743,0.0,0.009185092523694038,0.6959196925163269,-357.28790283203125,28.550325393676758,963.90673828125,-16.667917251586914,2.3545727729797363,2.563652992248535,0,266.1645812988281,6.663996696472168,9.347000122070312,0,0,0,0,True
221.3625,1,64.31280426001469,1,3933.743378599731,0.0,0.0,0.7011479735374451,-356.4189147949219,28.52396583557129,965.0491943359375,-17.936552047729492,3.9271399974823,2.476909637451172,0,266.1645812988281,6.663996696472168,9.347000122070312,0,0,0,0,True
221.48250000000002,1,63.54328272642706,1,3886.1522232808074,0.0,0.0,0.7066221833229065,-354.9670715332031,28.513813018798828,966.60693359375,-16.18366241455078,2.1929967403411865,2.1113967895507812,0,271.8636474609375,7.0734944343566895,10.0,0,0,0,0,True
221.5825,1,62.902167708093025,1,3823.0591977662716,0.0,0.0,0.7106103301048279,-353.6437683105469,28.52073860168457,967.7608642578125,-16.21506690979004,2.1837196350097656,2.319186210632324,0,271.8636474609375,7.0734944343566895,10.0,0,0,0,0,True
221.6825,1,62.4302669371302,1,3859.702816600472,0.12983019649982452,0.0,0.7021426558494568,-352.2350158691406,28.535749435424805,968.7798461914062,-14.53244400024414,0.3054637014865875,0.26967906951904297,0,277.7007751464844,6.736855506896973,10.324999809265137,0,0,0,0,True
