behind_leader,behind_next,best_laptime,best_sector1,best_sector2,current_laptime,current_sector1,current_sector2,delta_best,elapsed,elapsed_time,estimated_laptime,estimated_time_into,lap_number,last_laptime,last_sector1,last_sector2,start
0.0,0.0,113.46345520019531,37.584747314453125,75.70848083496094,4.890645751953116,-1.0,-1.0,-0.02376082645313815,297.8225,297.8225,111.87369537353516,4.892453670501709,2,113.46345520019531,37.584747314453125,75.70848083496094,292.9318542480469
0.0,0.0,113.46345520019531,37.584747314453125,75.70848083496094,4.990645751953139,-1.0,-1.0,-0.024111941819752403,297.9225,297.9225,111.87369537353516,4.892453670501709,2,113.46345520019531,37.584747314453125,75.70848083496094,292.9318542480469
0.0,0.0,113.46345520019531,37.584747314453125,75.70848083496094,5.070645751953123,-1.0,-1.0,-0.024342805893030395,298.0025,298.0025,111.87369537353516,5.094888687133789,2,113.46345520019531,37.584747314453125,75.70848083496094,292.9318542480469
0.0,0.0,113.46345520019531,37.584747314453125,75.70848083496094,5.190645751953127,-1.0,-1.0,-0.024802528388462086,298.1225,298.1225,111.87369537353516,5.094888687133789,2,113.46345520019531,37.584747314453125,75.70848083496094,292.9318542480469
0.0,0.0,113.46345520019531,37.584747314453125,75.70848083496094,5.270645751953111,-1.0,-1.0,-0.025138354759610237,298.2025,298.2025,111.87369537353516,5.297317028045654,2,113.46345520019531,37.584747314453125,75.70848083496094,292.9318542480469
0.0,0.0,113.46345520019531,37.584747314453125,75.70848083496094,5.390645751953116,-1.0,-1.0,-0.025676262115641002,298.3225,298.3225,111.87369537353516,5.297317028045654,2,113.46345520019531,37.584747314453125,75.70848083496094,292.9318542480469
0.0,0.0,113.46345520019531,37.584747314453125,75.70848083496094,5.470645751953157,-1.0,-1.0,-0.025999808817531722,298.40250000000003,298.40250000000003,111.87369537353516,5.499792575836182,2,113.46345520019531,37.584747314453125,75.70848083496094,292.9318542480469
0.0,0.0,113.46345520019531,37.584747314453125,75.70848083496094,5.5906457519531045,-1.0,-1.0,-0.026320650549738644,298.5225,298.5225,111.87369537353516,5.499792575836182,2,113.46345520019531,37.584747314453125,75.70848083496094,292.9318542480469
0.0,0.0,113.46345520019531,37.584747314453125,75.70848083496094,5.690645751953127,-1.0,-1.0,-0.026639655745054114,298.6225,298.6225,111.87369537353516,5.702240467071533,2,113.46345520019531,37.584747314453125,75.70848083496094,292.9318542480469
0.0,0.0,113.46345520019531,37.584747314453125,75.70848083496094,5.79064575195315,-1.0,-1.0,-0.02714971873877481,298.7225,298.7225,111.87369537353516,5.702240467071533,2,113.46345520019531,37.584747314453125,75.70848083496094,292.9318542480469
0.0,0.0,113.46345520019531,37.584747314453125,75.70848083496094,5.890645751953116,-1.0,-1.0,-0.027465030738896168,298.8225,298.8225,111.87369537353516,5.904693603515625,2,113.46345520019531,37.584747314453125,75.70848083496094,292.9318542480469
0.0,0.0,113.46345520019531,37.584747314453125,75.70848083496094,5.990645751953139,-1.0,-1.0,-0.027777603075343826,298.9225,298.9225,111.87369537353516,5.904693603515625,2,113.46345520019531,37.584747314453125,75.70848083496094,292.9318542480469
0.0,0.0,113.46345520019531,37.584747314453125,75.70848083496094,6.0906457519531045,-1.0,-1.0,-0.028087912999676945,299.0225,299.0225,111.87369537353516,6.107131481170654,2,113.46345520019531,37.584747314453125,75.70848083496094,292.9318542480469
0.0,0.0,113.46345520019531,37.584747314453125,75.70848083496094,6.190645751953127,-1.0,-1.0,-0.028393711163379187,299.1225,299.1225,111.87369537353516,6.107131481170654,2,113.46345520019531,37.584747314453125,75.70848083496094,292.9318542480469
0.0,0.0,113.46345520019531,37.584747314453125,75.70848083496094,6.29064575195315,-1.0,-1.0,-0.028997366364873045,299.2225,299.2225,111.87369537353516,6.30955696105957,2,113.46345520019531,37.584747314453125,75.70848083496094,292.9318542480469
0.0,0.0,113.46345520019531,37.584747314453125,75.70848083496094,6.390645751953116,-1.0,-1.0,-0.029291964746671617,299.3225,299.3225,111.87369537353516,6.30955696105957,2,113.46345520019531,37.584747314453125,75.70848083496094,292.9318542480469
0.0,0.0,113.46345520019531,37.584747314453125,75.70848083496094,6.490645751953139,-1.0,-1.0,-0.029584431023313762,299.4225,299.4225,111.87369537353516,6.5120320320129395,2,113.46345520019531,37.584747314453125,75.70848083496094,292.9318542480469
0.0,0.0,113.46345520019531,37.584747314453125,75.70848083496094,6.5906457519531045,-1.0,-1.0,-0.02974461990960542,299.5225,299.5225,111.87369537353516,6.5120320320129395,2,113.46345520019531,37.584747314453125,75.70848083496094,292.9318542480469
0.0,0.0,113.46345520019531,37.584747314453125,75.70848083496094,6.690645751953127,-1.0,-1.0,-0.030320339025043275,299.6225,299.6225,111.87369537353516,6.714522361755371,2,113.46345520019531,37.584747314453125,75.70848083496094,292.9318542480469
0.0,0.0,113.46345520019531,37.584747314453125,75.70848083496094,6.79064575195315,-1.0,-1.0,-0.030603492005164767,299.7225,299.7225,111.87369537353516,6.714522361755371,2,113.46345520019531,37.584747314453125,75.70848083496094,292.9318542480469
0.0,0.0,113.46345520019531,37.584747314453125,75.70848083496094,6.890645751953116,-1.0,-1.0,-0.030884032308761356,299.8225,299.8225,111.87369537353516,6.917019844055176,2,113.46345520019531,37.584747314453125,75.70848083496094,292.9318542480469
0.0,0.0,113.46345520019531,37.584747314453125,75.70848083496094,6.990645751953139,-1.0,-1.0,-0.031164353092028918,299.9225,299.9225,111.87369537353516,6.917019844055176,2,113.46345520019531,37.584747314453125,75.70848083496094,292.9318542480469
0.0,0.0,113.46345520019531,37.584747314453125,75.70848083496094,7.0906457519531045,-1.0,-1.0,-0.031439431264579376,300.0225,300.0225,111.87369537353516,7.119528293609619,2,113.46345520019531,37.584747314453125,75.70848083496094,292.9318542480469
0.0,0.0,113.46345520019531,37.584747314453125,75.70848083496094,7.190645751953127,-1.0,-1.0,-0.03198298653501652,300.1225,300.1225,111.87369537353516,7.119528293609619,2,113.46345520019531,37.584747314453125,75.70848083496094,292.9318542480469
0.0,0.0,113.46345520019531,37.584747314453125,75.70848083496094,7.310645751953132,-1.0,-1.0,-0.032248940456144126,300.2425,300.2425,111.87369537353516,7.322027683258057,2,113.46345520019531,37.584747314453125,75.70848083496094,292.9318542480469
0.0,0.0,113.46345520019531,37.584747314453125,75.70848083496094,7.390645751953116,-1.0,-1.0,-0.03237259549416116,300.3225,300.3225,111.87369537353516,7.322027683258057,2,113.46345520019531,37.584747314453125,75.70848083496094,292.9318542480469
0.0,0.0,113.46345520019531,37.584747314453125,75.70848083496094,7.5106457519531205,-1.0,-1.0,-0.03288686253571793,300.4425,300.4425,111.87369537353516,7.524528980255127,2,113.46345520019531,37.584747314453125,75.70848083496094,292.9318542480469
0.0,0.0,113.46345520019531,37.584747314453125,75.70848083496094,7.5906457519531045,-1.0,-1.0,-0.03314232877750989,300.5225,300.5225,111.87369537353516,7.524528980255127,2,113.46345520019531,37.584747314453125,75.70848083496094,292.9318542480469
0.0,0.0,113.46345520019531,37.584747314453125,75.70848083496094,7.710645751953109,-1.0,-1.0,-0.03339629952121648,300.6425,300.6425,111.87369537353516,7.727027416229248,2,113.46345520019531,37.584747314453125,75.70848083496094,292.9318542480469
0.0,0.0,113.46345520019531,37.584747314453125,75.70848083496094,7.79064575195315,-1.0,-1.0,-0.03364443486876034,300.7225,300.7225,111.87369537353516,7.727027416229248,2,113.46345520019531,37.584747314453125,75.70848083496094,292.9318542480469
0.0,0.0,113.46345520019531,37.584747314453125,75.70848083496094,7.910645751953155,-1.0,-1.0,-0.03414602325212979,300.84250000000003,300.84250000000003,111.87369537353516,7.929565906524658,2,113.46345520019531,37.584747314453125,75.70848083496094,292.9318542480469
0.0,0.0,113.46345520019531,37.584747314453125,75.70848083496094,7.990645751953139,-1.0,-1.0,-0.034247732415296106,300.9225,300.9225,111.87369537353516,7.929565906524658,2,113.46345520019531,37.584747314453125,75.70848083496094,292.9318542480469
0.0,0.0,113.46345520019531,37.584747314453125,75.70848083496094,8.110645751953143,-1.0,-1.0,-0.03449314926165137,301.0425,301.0425,111.87369537353516,8.13214111328125,2,113.46345520019531,37.584747314453125,75.70848083496094,292.9318542480469
